GRBname | Trig_ID | 15_25kev | 15_25kev_low | 15_25kev_hi | 25_50kev | 25_50kev_low | 25_50kev_hi | 50_100kev | 50_100kev_low | 50_100kev_hi | 100_150kev | 100_150kev_low | 100_150kev_hi | 100_350kev | 100_350kev_low | 100_350kev_hi | 15_150kev | 15_150kev_low | 15_150kev_hi | 15_350kev | 15_350kev_low | 15_350kev_hi | Exposure_time | Spectrum_start | Spectrum_stop | comment
GRB190630B   |    912102    | 1.037090e+00 | 4.526020e-01 | 1.637170e+00 | 9.179600e-01 | 5.284040e-01 | 1.307270e+00 | 5.583350e-01 | 2.317790e-01 | 9.030600e-01 | 2.187500e-01 | 6.158590e-02 | 4.635380e-01 | 5.139050e-01 | 0.000000e+00 | 1.368930e+00 | 2.732120e+00 | 1.573170e+00 | 3.891070e+00 | 3.027370e+00 | 1.711100e+00 | 4.374990e+00 | 0.02 | 0.488000 | 0.508000 |  
GRB190627A   |    911609    | 1.164350e+00 | 3.220430e-01 | 2.201950e+00 | 1.153960e+00 | 5.012990e-01 | 1.773790e+00 | 8.014370e-01 | 4.033740e-01 | 1.192560e+00 | 3.498850e-01 | 1.296140e-01 | 6.253270e-01 | 8.791960e-01 | 2.666940e-01 | 1.998990e+00 | 3.469650e+00 | 1.709540e+00 | 5.278500e+00 | 3.999140e+00 | 2.156370e+00 | 5.874980e+00 | 0.02 | 1.724000 | 1.744000 |  
GRB190613B   |    908329    | 5.758530e-04 | 3.597390e-04 | 2.177800e-02 | 7.155510e-03 | 4.455380e-03 | 1.666030e-01 | 8.140390e-02 | 5.038740e-02 | 1.137480e+00 | 2.978250e-01 | 1.731090e-01 | 2.796790e+00 | 7.988830e+00 | 4.382420e+00 | 4.335570e+01 | 3.932760e-01 | 2.283100e-01 | 1.723000e+01 | 7.940770e+00 | 4.428720e+00 | 4.467210e+01 | 0.02 | 0.248000 | 0.268000 |  
GRB190613A   |    908288    | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN | NaN |  
GRB190611A   |    907950    | 9.424440e-01 | 2.112780e-01 | 1.904120e+00 | 9.553050e-01 | 0.000000e+00 | 1.479070e+00 | 6.811670e-01 | 0.000000e+00 | 1.092150e+00 | 3.038030e-01 | 5.640780e-02 | 6.488800e-01 | 7.740480e-01 | 0.000000e+00 | 2.350270e+00 | 2.882720e+00 | 1.372870e+00 | 4.408820e+00 | 3.352970e+00 | 1.659290e+00 | 5.065260e+00 | 0.02 | 12.168000 | 12.188000 |  
GRB190610A   |    907754    | 1.758890e-03 | 8.183540e-04 | 2.349170e-02 | 2.083190e-02 | 1.013910e-02 | 1.921910e-01 | 2.248110e-01 | 1.145770e-01 | 1.410910e+00 | 7.486860e-01 | 3.939860e-01 | 3.631380e+00 | 2.300260e+01 | 9.953850e+00 | 6.008260e+01 | 9.961580e-01 | 5.194790e-01 | 6.547210e+00 | 2.309550e+01 | 1.008140e+01 | 6.163920e+01 | 0.02 | 0.344000 | 0.364000 |  
GRB190604B   |    906654    | 3.624030e+00 | 2.429410e+00 | 4.869830e+00 | 3.442540e+00 | 2.640740e+00 | 4.242150e+00 | 2.275020e+00 | 1.522010e+00 | 3.019690e+00 | 9.538680e-01 | 5.211090e-01 | 1.477850e+00 | 2.336120e+00 | 1.124960e+00 | 4.090210e+00 | 1.029540e+01 | 7.915920e+00 | 1.267490e+01 | 1.167760e+01 | 8.856550e+00 | 1.455310e+01 | 0.02 | 158.384000 | 158.404000 |  
GRB190519A   |    904394    | 1.100130e+01 | 4.965650e+00 | 1.745110e+01 | 9.960780e+00 | 5.488870e+00 | 1.438260e+01 | 6.222080e+00 | 3.073910e+00 | 9.254240e+00 | 2.491590e+00 | 9.399850e-01 | 4.181730e+00 | 5.930840e+00 | 1.895090e+00 | 1.116720e+01 | 2.967570e+01 | 1.654970e+01 | 4.279350e+01 | 3.311470e+01 | 1.870350e+01 | 4.752800e+01 | 0.02 | 0.380000 | 0.400000 |  
GRB190515B   |    903845    | 3.980220e-01 | NaN | NaN | 4.456290e-01 | NaN | NaN | 3.565870e-01 | NaN | NaN | 1.744500e-01 | NaN | NaN | 4.729310e-01 | NaN | NaN | 1.374990e+00 | NaN | NaN | 1.674190e+00 | NaN | NaN | 0.02 | -4.320000 | -4.300000 |  
GRB190512A   |    903357    | 1.072830e+00 | 5.436410e-01 | 1.639690e+00 | 1.139510e+00 | 6.951160e-01 | 1.581860e+00 | 8.580310e-01 | 4.453280e-01 | 1.267730e+00 | 3.999330e-01 | 1.581350e-01 | 6.932640e-01 | 1.049150e+00 | 3.471340e-01 | 2.119400e+00 | 3.470380e+00 | 2.132280e+00 | 4.808650e+00 | 4.118740e+00 | 2.457210e+00 | 5.844660e+00 | 0.02 | -7.132000 | -7.112000 |  
